area_sqft,bedrooms,age_years,price_lakh
1489.8,4,20.0,98.45
996.2,2,29.5,60.37
1101.8,3,15.2,69.68
1422.9,1,24.5,70.33
1649.4,4,7.9,107.26
1774.3,3,17.4,86.82
1730.4,1,31.5,71.43
2593.6,4,32.3,129.68
1256.4,2,23.1,82.02
962.3,2,31.5,41.17
2125.4,3,27.8,112.3
2123.1,3,18.9,106.78
852.6,2,23.3,62.75
1737.5,1,5.1,82.1
1485.4,1,1.1,83.26
1724.5,1,5.5,85.07
2061.6,1,14.2,104.3
628.0,1,7.8,37.23
947.3,1,16.8,71.89
1747.4,4,36.8,89.89
1862.1,3,17.4,97.01
1114.2,2,3.5,66.26
1281.9,1,6.1,68.7
872.7,3,2.4,58.45
734.9,3,18.3,45.42
1397.3,4,34.4,78.53
1183.3,3,34.4,66.74
1252.5,3,1.6,89.81
797.6,2,28.9,44.71
2543.1,3,25.8,122.09
1566.4,2,4.0,95.8
932.8,2,0.2,60.4
1477.5,3,25.3,92.8
2076.4,3,22.0,118.64
2528.4,1,28.5,106.1
1825.0,2,5.9,103.86
2485.4,1,16.2,126.46
2164.6,3,12.4,119.64
1104.0,2,2.1,80.19
2343.8,2,15.1,114.79
956.5,2,20.8,62.09
2155.1,3,36.8,109.04
2328.7,4,7.3,130.07
1553.7,4,5.0,100.43
1683.8,4,36.0,90.32
2333.6,1,20.9,98.14
1816.6,4,17.1,107.05
968.5,1,21.1,57.39
714.6,4,14.2,48.48
799.9,2,7.0,66.33
1112.6,3,20.6,59.68
1150.0,3,36.5,62.43
785.2,4,37.6,48.91
2035.5,4,34.2,114.74
2301.9,4,21.6,118.57
1159.2,2,38.9,78.46
997.7,3,9.0,72.45
1432.0,4,14.6,83.32
1050.6,1,18.3,64.13
919.5,2,31.8,50.52
2448.0,3,22.6,127.57
2116.2,4,31.3,107.7
1292.6,2,4.8,88.62
2324.1,4,11.1,127.29
890.4,1,17.5,47.45
1005.0,4,34.8,52.02
1431.5,4,39.6,79.09
1314.2,2,22.6,73.05
2288.5,2,30.2,106.31
798.0,3,25.7,50.25
1901.2,4,38.9,107.69
2431.1,1,23.7,117.97
1836.6,1,37.6,84.54
