temperature_c,vibration_mm_s,failed
37.58,6.46,0
24.22,4.16,0
21.47,1.87,1
39.7,2.66,1
32.03,0.94,1
26.73,4.44,0
19.85,7.8,1
40.52,9.87,1
40.57,7.01,1
25.63,0.16,1
37.48,9.24,1
33.26,7.66,0
32.07,5.83,1
42.55,1.21,1
39.51,1.39,1
31.67,3.16,0
35.93,9.64,1
21.56,2.44,0
38.18,1.35,1
16.8,8.2,1
37.67,10.0,1
23.77,6.53,0
15.05,6.05,1
31.65,6.98,0
32.88,3.24,0
25.89,7.03,0
17.14,1.89,1
18.55,7.43,1
18.92,0.14,1
34.35,3.08,0
19.15,6.87,1
30.83,0.11,1
44.6,0.1,1
21.22,7.37,1
21.26,5.59,0
33.7,3.4,0
37.85,0.13,1
36.67,0.4,1
24.75,9.36,1
38.91,8.01,1
42.93,7.29,1
40.32,9.85,1
21.88,0.6,1
20.34,5.3,1
15.38,1.62,1
35.5,1.33,0
41.96,2.15,1
17.01,8.31,1
18.61,9.32,1
31.42,0.71,1
37.01,3.14,0
16.18,1.24,1
43.63,0.89,1
31.73,9.03,1
20.49,2.18,1
37.43,9.11,1
27.46,4.91,0
35.82,0.65,1
33.85,4.26,0
43.32,2.04,1
27.13,0.92,1
40.14,9.04,1
23.7,5.7,0
16.91,8.97,0
32.74,1.0,1
35.96,2.19,1
23.24,1.92,1
19.28,0.59,1
29.78,3.19,0
29.1,3.25,0
16.11,5.09,1
38.43,8.23,1
26.88,2.75,0
18.0,4.29,1
17.36,8.65,1
32.95,5.97,0
34.38,9.37,1
31.81,4.98,0
23.98,0.32,1
30.54,0.76,1
35.25,3.29,0
27.37,5.14,0
27.79,9.24,1
30.19,7.32,0
24.7,9.39,1
17.1,7.82,1
17.01,0.85,1
25.62,3.69,0
33.19,9.69,1
35.31,6.62,0
27.36,5.07,0
27.81,5.86,0
41.44,3.28,1
30.89,6.76,0
29.64,8.67,1
26.45,8.41,1
39.68,7.69,1
36.28,6.95,0
29.23,2.12,0
32.93,4.89,0
26.98,1.8,1
27.58,7.81,0
36.57,4.97,0
35.25,4.31,0
35.38,1.84,1
44.13,1.92,1
19.57,8.48,1
44.06,4.08,1
27.14,1.36,1
20.93,5.84,1
36.02,6.24,0
19.4,4.49,1
36.09,1.8,1
16.46,5.09,1
39.07,3.34,1
24.83,5.8,0
36.49,8.9,1
34.59,1.77,1
37.3,8.63,1
26.74,0.14,1
37.81,8.41,1
17.53,1.04,1
24.47,7.37,1
19.61,6.0,1
43.29,5.74,1
28.64,7.89,0
25.29,8.88,1
17.32,1.9,1
21.08,2.38,1
26.94,4.62,0
42.84,9.01,1
29.35,6.05,0
25.77,9.9,1
25.06,4.78,0
32.72,0.86,1
27.34,2.1,1
15.3,6.06,1
30.21,2.53,0
19.53,9.91,1
22.61,0.85,1
41.3,3.96,1
21.87,8.4,1
29.61,1.61,1
34.54,3.68,0
17.57,6.63,1
20.37,5.41,1
41.87,0.16,1
27.16,6.14,0
34.77,5.51,0
38.71,7.36,1
15.24,9.38,1
37.6,1.25,1
35.91,5.73,0
39.01,4.45,1
25.81,7.31,0
34.29,1.64,1
21.55,8.23,1
19.48,9.11,1
24.39,5.2,0
26.49,8.49,0
16.71,8.42,1
31.99,8.2,1
28.06,2.55,0
17.05,3.15,1
29.96,9.88,1
25.23,4.42,0
43.93,7.19,1
17.59,7.97,1
17.2,0.69,1
18.65,1.16,1
15.94,7.68,1
35.81,3.97,0
44.43,1.5,1
40.31,3.28,1
40.7,4.5,1
24.06,9.24,1
15.34,4.21,1
22.12,7.71,1
35.99,2.03,1
30.72,0.52,1
29.24,8.97,1
35.53,8.37,1
18.21,2.77,1
40.45,1.05,1
41.93,4.27,1
43.65,3.07,1
16.46,8.06,1
30.38,3.51,0
40.95,8.48,1
33.56,0.82,1
39.54,0.02,1
29.82,5.15,0
27.48,5.58,1
41.29,9.06,1
22.02,5.6,0
38.37,0.05,1
16.97,9.05,1
39.97,6.35,0
37.43,5.65,0
30.44,6.57,0
20.78,9.21,1
42.88,7.46,1
44.76,3.76,1
37.55,2.12,1
31.39,9.17,1
33.44,3.15,0
22.66,4.16,0
28.86,5.65,0
37.71,8.6,1
34.91,3.94,0
18.64,5.82,1
26.96,3.24,0
29.89,3.55,0
18.3,5.04,1
30.64,1.3,1
18.81,7.0,1
43.7,0.56,1
27.26,3.54,0
41.66,3.83,1
34.78,7.31,0
27.71,2.43,0
22.83,2.26,1
32.7,6.28,0
29.36,0.06,1
27.99,4.76,0
26.45,2.2,1
30.65,4.55,0
42.26,0.52,1
24.45,8.34,1
44.14,1.64,1
25.77,6.85,0
37.18,2.23,1
38.48,5.96,0
18.74,9.95,1
34.48,9.95,1
15.93,5.37,1
22.57,8.84,1
33.01,3.45,0
26.28,2.28,0
21.45,3.66,1
32.99,5.8,1
44.97,2.93,1
16.04,6.29,1
21.43,1.4,0
42.53,1.52,1
22.6,3.55,0
20.22,0.74,1
40.79,8.88,1
29.32,3.99,0
42.07,0.07,1
18.3,1.15,1
15.56,2.8,1
24.8,0.16,1
20.24,4.95,1
34.97,6.86,0
32.44,9.35,1
23.32,9.64,1
34.46,2.03,0
36.36,2.31,1
37.31,8.91,1
23.81,0.66,1
44.58,7.85,1
38.82,6.5,1
35.69,4.72,0
37.21,5.34,0
31.05,0.03,1
40.24,5.04,1
37.98,7.22,0
43.43,8.99,1
29.03,4.36,0
23.84,0.7,1
21.25,5.53,0
41.08,3.4,1
34.35,9.5,1
18.87,3.86,1
24.47,5.24,0
37.71,2.62,1
44.88,3.16,1
26.16,0.38,1
29.5,6.86,0
25.32,7.02,0
35.46,9.57,1
29.83,9.13,0
39.33,0.62,1
27.02,8.25,1
37.55,9.35,1
25.94,2.26,1
33.57,1.54,1
37.19,7.45,1
33.65,9.1,1
33.25,0.5,1
44.91,1.54,1
29.65,7.27,0
31.06,5.15,0
27.65,8.93,1
32.26,8.13,1
39.32,1.33,1
22.49,0.05,1
28.14,2.75,0
31.75,1.17,1
27.83,6.63,0
25.07,6.01,0
27.44,3.11,0
38.49,0.95,1
32.98,7.7,0
23.52,3.51,0
22.87,7.54,1
16.9,5.13,1
41.43,1.24,1
40.69,2.15,1
15.88,4.19,1
19.57,7.13,1
37.91,5.65,0
30.88,5.31,0
35.99,5.6,0
29.75,8.58,1
26.96,6.81,1
36.4,4.58,0
30.98,10.0,1
16.4,6.09,1
29.49,6.33,0
43.11,0.17,1
31.08,7.34,0
35.07,4.37,0
20.33,3.26,1
29.93,0.91,1
16.46,4.59,1
30.32,1.63,1
16.16,3.62,1
20.3,0.43,1
36.06,9.66,1
29.06,4.62,0
44.69,0.34,1
35.45,5.99,0
15.99,9.21,0
38.56,4.3,0
40.23,4.49,1
16.82,4.2,1
36.7,0.98,1
18.9,1.23,1
24.96,1.25,1
38.4,6.0,0
31.7,5.82,0
19.65,9.98,1
33.2,5.3,0
29.62,1.15,1
21.73,7.51,1
40.66,7.78,1
32.73,7.29,0
21.7,1.01,1
39.92,6.63,1
15.99,0.08,1
32.77,4.8,0
25.37,3.59,0
38.23,8.39,1
21.93,7.26,1
20.67,8.43,0
24.59,9.07,1
16.28,0.79,1
34.94,4.11,0
18.62,4.76,1
25.08,3.24,0
39.24,5.61,1
36.58,9.5,1
30.0,3.32,0
16.44,0.31,1
29.63,3.08,0
16.03,7.26,1
18.97,1.08,1
18.27,8.2,1
25.23,3.78,0
19.15,9.82,1
26.38,8.82,1
17.24,9.7,1
37.39,3.94,0
20.69,3.45,0
19.7,5.05,1
44.0,1.86,1
25.35,0.55,0
24.37,1.5,1
22.53,4.68,0
32.73,4.71,0
36.69,0.36,0
25.65,8.11,0
19.89,1.47,1
15.5,4.08,1
20.17,9.31,1
18.23,3.78,1
34.65,8.27,1
16.52,7.18,1
37.47,7.96,1
15.85,4.69,1
21.33,3.55,1
29.0,5.93,0
28.75,4.42,0
33.04,7.86,1
25.77,9.34,0
26.93,7.16,0
38.71,1.72,1
36.77,7.05,0
