month,sales
2020-01,1157.99
2020-02,1160.52
2020-03,1110.72
2020-04,1199.03
2020-05,1216.02
2020-06,1155.43
2020-07,948.46
2020-08,781.16
2020-09,782.48
2020-10,853.35
2020-11,1016.91
2020-12,1204.13
2021-01,1187.73
2021-02,1284.84
2021-03,1238.46
2021-04,1364.25
2021-05,1232.44
2021-06,1253.84
2021-07,1085.19
2021-08,897.95
2021-09,782.47
2021-10,974.83
2021-11,1183.69
2021-12,1261.41
2022-01,1353.56
2022-02,1406.91
2022-03,1376.68
2022-04,1369.83
2022-05,1333.63
2022-06,1299.03
2022-07,1172.84
2022-08,1006.39
2022-09,960.94
2022-10,997.77
2022-11,1232.49
2022-12,1369.84
2023-01,1382.11
2023-02,1436.11
2023-03,1447.56
2023-04,1486.2
2023-05,1457.96
2023-06,1454.78
2023-07,1266.78
2023-08,1098.57
2023-09,1057.54
2023-10,1121.6
2023-11,1308.29
2023-12,1472.38
2024-01,1551.02
2024-02,1557.07
2024-03,1480.5
2024-04,1578.94
2024-05,1505.34
2024-06,1511.14
2024-07,1432.04
2024-08,1181.69
2024-09,1177.81
2024-10,1190.03
2024-11,1372.9
2024-12,1535.12
2025-01,1575.64
2025-02,1689.2
2025-03,1632.47
2025-04,1625.37
2025-05,1651.79
2025-06,1670.51
2025-07,1467.21
2025-08,1299.51
2025-09,1143.46
2025-10,1337.3
2025-11,1493.64
2025-12,1637.98
