batch,income,debt,credit_score,approved
current,95505,20666,502,1
current,67626,14591,524,1
current,75758,5468,578,0
current,29689,16250,550,0
current,58128,46851,732,1
current,40021,20093,525,0
current,65492,9754,686,1
current,48254,48945,565,0
current,36805,35152,579,0
current,28459,18525,623,0
current,69843,44795,542,0
current,25915,49135,598,0
current,64129,47661,603,1
current,62523,39438,546,0
current,8000,22693,479,0
current,37558,39835,577,1
current,65842,34797,553,1
current,62836,24502,669,0
current,40321,34312,547,0
current,28931,44231,588,0
current,71840,27917,670,1
current,49878,44822,351,0
current,75563,21069,607,1
current,66635,2920,623,1
current,72949,32688,517,0
current,39318,23970,537,1
current,78194,13791,544,1
current,69572,29984,553,0
current,34750,44579,678,0
current,63564,12698,536,1
current,52539,13639,500,1
current,40196,33803,584,0
current,34684,24760,470,0
current,69488,37740,539,0
current,57545,31329,569,0
current,39327,1558,519,0
current,55768,32815,555,0
current,42372,20928,530,0
current,16281,47720,665,0
current,85602,46070,624,1
current,74733,2239,709,1
current,47130,43356,598,0
current,75523,10886,702,1
current,31857,8913,637,0
current,68453,44205,584,0
current,55910,46824,569,1
current,30965,28557,621,0
current,49881,38985,571,0
current,66312,2641,433,0
current,51619,1956,755,1
current,75080,34785,700,0
current,31108,40176,516,0
current,45854,21470,736,1
current,82009,35696,658,1
current,39831,10616,486,0
current,40613,25485,523,0
current,56109,13791,572,0
current,44816,25889,732,1
current,51311,37507,685,0
current,59851,44427,577,1
current,49305,22238,518,1
current,57674,39582,418,0
current,54707,25234,668,1
current,57321,22886,647,1
current,62796,35668,680,1
current,61103,15424,609,0
current,37765,33762,605,0
current,27971,46741,496,0
current,64192,10853,617,1
current,58371,49404,500,0
current,48900,26211,480,0
current,51421,47292,481,0
current,68794,1613,785,1
current,60548,12290,448,1
current,64376,30670,552,0
current,54354,42960,526,0
current,90080,22606,638,1
current,61900,30963,625,1
current,65817,186,638,1
current,69446,29540,586,1
current,45551,19998,616,1
current,41326,38646,495,1
current,25083,39667,715,0
current,64033,39273,614,1
current,94885,16964,680,1
current,49756,37717,596,1
current,75992,41399,594,0
current,44106,5822,581,1
current,30718,2896,630,0
current,47667,33566,514,0
current,60461,8845,530,1
current,46243,14782,797,1
current,70753,29164,593,0
current,15316,45894,702,0
current,49316,29609,616,1
current,32512,43135,763,0
current,21577,38737,537,0
current,46759,32307,641,0
current,20544,2041,500,0
current,27400,9687,619,1
current,51288,77,615,1
current,56841,35401,701,1
current,92624,10381,625,1
current,75698,20810,599,1
current,62129,47942,641,0
current,63602,43068,711,0
current,43547,35931,431,1
current,60148,501,713,1
current,37790,5470,509,1
current,25209,19374,703,0
current,52252,26905,706,1
current,33020,25956,574,0
current,61805,15725,586,0
current,46876,15323,641,1
current,50103,5924,705,1
current,102318,48950,475,0
current,44425,16981,591,1
current,29897,15974,477,0
current,31392,26656,472,0
current,44781,11590,525,0
current,74197,7120,528,1
current,73925,23844,732,1
current,57242,12275,573,0
current,41393,37470,478,0
current,66957,13177,583,1
current,64933,9920,741,1
current,41232,30014,545,1
current,52965,25448,756,1
current,88966,48323,595,0
current,41297,886,628,1
current,61308,26069,601,0
current,56045,12958,676,1
current,53061,8073,654,1
current,75252,9543,452,1
current,62688,32077,564,0
current,40836,30119,595,0
current,61798,30815,710,1
current,52158,39732,702,1
current,53592,1658,698,1
current,53935,27980,430,0
current,32278,6299,610,1
current,57249,5069,532,1
current,44896,3732,346,0
current,43571,5729,599,1
current,69088,1869,543,1
current,32656,30572,615,1
current,73876,16813,591,1
current,72945,37330,625,0
current,47948,42405,596,1
