batch,income,debt,credit_score,approved
reference,65867,31953,706,1
reference,79682,39048,683,1
reference,49978,48429,676,0
reference,55605,8836,761,1
reference,41137,26624,609,0
reference,76627,43924,562,1
reference,52587,7258,756,1
reference,65883,34184,683,0
reference,66141,43202,659,1
reference,51431,37208,660,0
reference,46202,10192,595,1
reference,56898,33931,573,0
reference,40084,40871,808,0
reference,75145,39759,612,0
reference,77285,5931,734,1
reference,59248,49061,747,0
reference,21753,14457,725,0
reference,62062,18141,619,1
reference,46742,35164,623,1
reference,53860,30981,684,0
reference,31545,30315,832,0
reference,64101,46057,723,1
reference,54773,9066,809,1
reference,51408,116,754,1
reference,64061,29159,682,1
reference,31645,29986,525,0
reference,46093,34309,654,0
reference,60138,47257,676,0
reference,83504,19564,732,1
reference,58459,35981,586,1
reference,74870,36397,673,1
reference,39533,11642,631,1
reference,66976,16759,777,1
reference,40644,40075,723,0
reference,40426,15667,559,1
reference,48436,31711,692,0
reference,60366,41264,602,0
reference,55239,42789,745,1
reference,30590,33344,729,1
reference,50916,32520,422,0
reference,50436,230,579,1
reference,44229,48723,423,0
reference,63048,49301,444,0
reference,32151,31458,597,0
reference,45801,39847,650,1
reference,56283,5729,708,1
reference,49918,9743,667,1
reference,46819,40616,671,1
reference,43703,8209,700,1
reference,86417,26618,419,0
reference,70128,27566,684,1
reference,50026,26252,619,1
reference,69478,36862,701,0
reference,33318,35240,789,1
reference,62820,10723,467,1
reference,63514,11542,693,1
reference,58489,30253,774,1
reference,45683,41605,499,0
reference,18462,12992,743,0
reference,62025,49697,679,1
reference,70019,29651,700,1
reference,52487,24891,653,0
reference,72874,41056,618,1
reference,62460,20123,659,1
reference,79387,29471,721,1
reference,64261,15277,563,0
reference,74388,46588,730,0
reference,76221,30042,664,0
reference,19184,26249,802,0
reference,97381,3148,596,1
reference,83390,17415,640,1
reference,62251,47134,559,0
reference,40991,35385,661,0
reference,54445,14557,742,1
reference,58264,26014,553,0
reference,45363,45039,628,0
reference,57979,5350,618,1
reference,67358,4614,670,1
reference,42107,45398,599,0
reference,22638,43025,638,0
reference,67990,5546,649,1
reference,63222,13746,577,1
reference,67033,17856,677,1
reference,25281,9442,583,1
reference,88780,24855,665,1
reference,35346,40664,693,0
reference,41137,9095,808,1
reference,53837,13584,783,1
reference,63311,34594,643,0
reference,54665,6142,850,1
reference,66960,46713,598,0
reference,67765,36593,449,0
reference,71171,1766,764,1
reference,82454,10535,472,1
reference,38442,4440,765,1
reference,65525,22214,574,1
reference,32726,40277,519,0
reference,54191,46757,583,0
reference,39338,36742,642,0
reference,64846,43078,558,1
reference,55163,9810,555,0
reference,70456,30926,681,0
reference,16271,25404,667,0
reference,63124,5253,669,1
reference,64056,14771,647,1
reference,83912,1308,615,1
reference,65581,44914,605,1
reference,76248,28614,467,0
reference,68696,23878,660,1
reference,73206,24095,640,1
reference,55364,4654,553,1
reference,50040,37913,737,1
reference,51764,16423,731,1
reference,15769,49110,570,0
reference,65333,19432,716,0
reference,55887,19865,601,1
reference,53137,20967,757,1
reference,63310,16328,609,1
reference,50700,47211,664,0
reference,40067,38622,697,0
reference,42952,46099,621,0
reference,69741,16135,607,1
reference,52242,31965,633,0
reference,50872,26726,743,1
reference,45282,49535,698,1
reference,87405,31564,676,0
reference,45373,39021,717,0
reference,26363,11481,555,0
reference,64943,321,613,1
reference,62832,16723,478,0
reference,48836,43820,375,0
reference,77431,37680,567,1
reference,56143,3111,591,1
reference,37212,40685,726,0
reference,28682,30544,499,0
reference,64978,48870,713,1
reference,58526,19660,627,0
reference,46607,49029,725,0
reference,68481,2361,627,1
reference,40186,6398,647,1
reference,52276,31240,572,1
reference,40078,5870,749,1
reference,33865,152,632,1
reference,77847,44845,601,0
reference,48575,20838,701,0
reference,89398,13518,558,0
reference,43432,41014,663,0
reference,52814,32440,730,1
reference,43123,9741,666,1
reference,65439,42077,576,0
reference,33910,3142,688,1
reference,87890,1367,691,1
reference,69388,40407,598,0
reference,61355,24085,606,1
reference,41271,38381,691,1
reference,26051,6953,515,0
reference,101188,44032,748,1
reference,84011,32582,589,0
reference,63377,6665,814,1
reference,70558,49495,730,0
reference,50925,49210,595,0
reference,66697,30013,754,1
reference,76861,194,602,1
reference,41979,6313,663,1
reference,42625,24718,585,0
reference,37468,6250,614,0
reference,58014,10897,534,1
reference,57395,23865,627,0
reference,44785,38968,770,1
reference,76766,49912,704,0
reference,70014,37368,565,1
reference,39157,16449,694,1
reference,56474,28758,751,1
reference,84348,3140,660,1
reference,45554,2241,708,1
reference,44890,9081,583,1
reference,39039,7809,606,0
reference,42071,18679,716,1
reference,84791,24800,810,1
reference,71162,11517,693,1
reference,33314,29094,623,0
reference,48329,49980,516,0
reference,41954,27569,774,0
reference,47757,44416,742,1
reference,54476,8367,753,1
reference,63223,23098,540,0
reference,79370,8336,696,1
reference,51365,12371,498,0
reference,50006,21567,817,1
reference,56632,37121,665,1
reference,67100,20137,590,1
reference,67042,3427,545,0
reference,35314,4011,564,0
reference,19112,39295,654,0
reference,52377,16555,669,0
reference,68481,42336,842,1
reference,33530,32808,631,0
reference,87846,23962,568,1
reference,53150,1923,641,1
reference,48863,40768,590,0
reference,41004,46405,636,0
reference,51068,6227,670,1
reference,60655,19629,500,0
reference,34234,13737,735,1
reference,76577,32494,659,0
reference,70962,32996,626,1
reference,13042,29271,638,0
reference,41028,33664,583,0
reference,63344,33399,680,1
reference,83905,32396,508,1
reference,63898,49409,744,1
reference,39646,38848,713,0
reference,78291,8325,706,1
reference,40753,4403,411,0
reference,57557,48608,489,0
reference,53318,48824,589,0
reference,41129,36246,707,0
reference,87335,30036,661,1
reference,49092,17678,608,1
reference,85228,42980,723,1
reference,66760,8773,662,1
reference,54866,6204,718,1
reference,48899,8984,593,0
reference,59036,38578,835,1
reference,56060,5680,760,1
reference,58026,5742,613,0
reference,73931,45628,602,1
reference,62147,5274,535,0
reference,74347,28847,726,1
reference,59989,40316,747,1
reference,50624,14684,740,1
reference,62700,11667,713,1
reference,32293,43705,560,0
reference,41647,39125,571,0
reference,125418,27706,628,0
reference,28565,17873,697,1
reference,76902,1861,663,1
reference,39199,39181,640,0
reference,55941,46794,666,0
reference,99185,18897,539,1
reference,41680,22765,669,0
reference,60017,979,666,1
reference,83806,14363,655,1
reference,79395,2914,470,1
reference,55149,1500,656,1
reference,34829,16981,707,1
reference,55329,37559,552,0
reference,60646,41937,681,1
reference,59507,36347,693,1
reference,51646,18894,657,0
reference,92089,15139,679,1
reference,34020,34213,706,0
reference,17261,27359,591,0
reference,53193,38701,754,0
reference,56597,36886,682,0
reference,36096,10047,574,1
reference,30487,31654,669,0
reference,46466,45447,796,1
reference,67501,30384,550,0
reference,50064,11272,817,1
reference,71934,49837,682,1
reference,57889,35639,596,0
reference,75404,3520,624,1
reference,38616,37268,659,0
reference,24897,3546,671,1
reference,72542,6037,671,1
reference,59605,30330,599,1
reference,34591,45730,740,0
reference,37009,7622,682,1
reference,41375,36397,641,0
reference,55456,24194,559,1
reference,67075,17676,850,1
reference,82736,9952,608,1
reference,59965,41980,621,1
reference,49130,48009,710,0
reference,62605,105,620,1
reference,65277,39302,688,0
reference,58414,11538,518,0
reference,39777,1891,702,1
reference,34160,28055,544,1
reference,48851,21070,700,1
reference,55574,4824,850,1
reference,92306,40871,465,1
reference,41047,36057,705,1
reference,55444,30497,590,0
reference,40993,26552,784,1
reference,61318,45896,656,0
reference,71702,48618,803,1
reference,61223,46343,627,0
reference,71428,28301,589,0
reference,18285,30324,673,0
reference,68172,19312,505,1
reference,37521,45474,545,0
reference,85660,37334,555,1
reference,57165,19588,729,1
reference,68511,8427,592,1
reference,36789,47258,783,0
reference,53572,20675,755,0
reference,72299,13057,716,1
reference,87437,35801,468,1
reference,28279,27343,683,1
reference,28695,22453,695,1
reference,58287,11240,702,0
reference,50144,18496,652,1
reference,66850,26071,695,1
reference,95149,33401,731,1
reference,38023,7966,598,1
reference,40009,7484,712,1
reference,58423,6445,742,1
reference,23962,35138,497,0
reference,34286,6570,638,1
reference,9324,40151,821,0
reference,20407,24041,638,0
reference,56416,2396,596,1
reference,71604,22803,728,1
reference,15882,28732,678,0
reference,25822,20610,626,0
reference,79823,42656,641,0
