gender,preference
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,tea
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
male,coffee
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,tea
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
female,coffee
