car_id,mpg,weight_t,cylinders,transmission,service_months
CAR001,17.83,2.061,4,manual,2.3
CAR002,16.87,1.997,6,manual,8.3
CAR003,24.54,0.94,8,manual,6.5
CAR004,18.89,1.554,8,manual,4.8
CAR005,25.13,1.045,4,automatic,8.8
CAR006,23.2,0.967,8,automatic,5.9
CAR007,23.43,1.4,4,automatic,2.9
CAR008,14.43,1.937,6,automatic,
CAR009,21.93,1.16,6,manual,5.5
CAR010,16.47,2.154,6,manual,8.2
CAR011,20.83,1.714,6,manual,1.8
CAR012,21.29,1.343,8,automatic,1.0
CAR013,21.1,1.459,8,automatic,2.6
CAR014,21.19,1.448,6,manual,5.2
CAR015,16.83,1.667,6,manual,1.5
CAR016,21.41,1.7,4,manual,4.6
CAR017,16.08,2.323,4,automatic,2.4
CAR018,19.7,1.574,8,automatic,7.1
CAR019,25.58,1.007,6,automatic,8.4
CAR020,18.11,1.995,4,manual,8.0
CAR021,20.52,1.555,8,manual,2.7
CAR022,15.53,2.247,8,automatic,5.0
CAR023,16.14,2.316,4,automatic,8.6
CAR024,23.66,1.346,6,automatic,
CAR025,23.37,1.322,4,manual,2.7
CAR026,17.44,2.345,4,manual,4.1
CAR027,24.07,1.319,4,manual,5.0
CAR028,13.73,2.112,6,manual,2.2
CAR029,18.48,1.746,8,manual,3.8
CAR030,27.05,0.905,4,automatic,5.3
CAR031,23.51,0.968,6,manual,6.3
CAR032,23.46,1.046,8,automatic,2.0
CAR033,13.75,2.297,8,automatic,3.5
CAR034,28.12,0.987,4,manual,5.3
CAR035,18.85,2.072,4,manual,6.7
CAR036,23.15,1.079,6,automatic,8.7
CAR037,19.47,1.828,4,automatic,3.8
CAR038,22.26,1.541,6,automatic,4.1
CAR039,18.53,2.106,4,manual,4.6
CAR040,23.02,1.165,6,manual,7.0
CAR041,20.79,1.319,4,automatic,1.1
CAR042,20.01,1.247,8,automatic,
CAR043,19.66,1.631,8,manual,2.6
CAR044,22.22,1.74,4,automatic,7.5
CAR045,23.57,1.518,6,automatic,8.2
CAR046,17.51,1.865,8,automatic,5.9
CAR047,16.79,1.518,6,automatic,8.1
CAR048,18.77,1.879,6,automatic,1.1
CAR049,14.4,2.347,8,automatic,6.7
CAR050,25.99,1.163,6,manual,2.2
