month,region,city,category,product,quantity,revenue
2026-01,South,Vijayawada,Grocery,Rice 5kg,4,1120
2026-01,South,Vijayawada,Grocery,Tea 500g,11,2310
2026-01,South,Vijayawada,Personal,Shampoo 200ml,2,280
2026-01,South,Vijayawada,Stationery,Notebook,9,360
2026-01,South,Guntur,Grocery,Rice 5kg,12,3360
2026-01,South,Guntur,Grocery,Tea 500g,15,3150
2026-01,South,Guntur,Personal,Shampoo 200ml,19,2660
2026-01,South,Guntur,Stationery,Notebook,3,120
2026-01,North,Hyderabad,Grocery,Rice 5kg,12,3360
2026-01,North,Hyderabad,Grocery,Tea 500g,16,3360
2026-01,North,Hyderabad,Personal,Shampoo 200ml,5,700
2026-01,North,Hyderabad,Stationery,Notebook,9,360
2026-02,South,Vijayawada,Grocery,Rice 5kg,7,1960
2026-02,South,Vijayawada,Grocery,Tea 500g,6,1260
2026-02,South,Vijayawada,Personal,Shampoo 200ml,19,2660
2026-02,South,Vijayawada,Stationery,Notebook,3,120
2026-02,South,Guntur,Grocery,Rice 5kg,18,5040
2026-02,South,Guntur,Grocery,Tea 500g,6,1260
2026-02,South,Guntur,Personal,Shampoo 200ml,7,980
2026-02,South,Guntur,Stationery,Notebook,10,400
2026-02,North,Hyderabad,Grocery,Rice 5kg,12,3360
2026-02,North,Hyderabad,Grocery,Tea 500g,11,2310
2026-02,North,Hyderabad,Personal,Shampoo 200ml,8,1120
2026-02,North,Hyderabad,Stationery,Notebook,2,80
2026-03,South,Vijayawada,Grocery,Rice 5kg,3,840
2026-03,South,Vijayawada,Grocery,Tea 500g,24,5040
2026-03,South,Vijayawada,Personal,Shampoo 200ml,10,1400
2026-03,South,Vijayawada,Stationery,Notebook,20,800
2026-03,South,Guntur,Grocery,Rice 5kg,3,840
2026-03,South,Guntur,Grocery,Tea 500g,21,4410
2026-03,South,Guntur,Personal,Shampoo 200ml,23,3220
2026-03,South,Guntur,Stationery,Notebook,2,80
2026-03,North,Hyderabad,Grocery,Rice 5kg,13,3640
2026-03,North,Hyderabad,Grocery,Tea 500g,18,3780
2026-03,North,Hyderabad,Personal,Shampoo 200ml,23,3220
2026-03,North,Hyderabad,Stationery,Notebook,15,600
2026-04,South,Vijayawada,Grocery,Rice 5kg,5,1400
2026-04,South,Vijayawada,Grocery,Tea 500g,14,2940
2026-04,South,Vijayawada,Personal,Shampoo 200ml,20,2800
2026-04,South,Vijayawada,Stationery,Notebook,7,280
2026-04,South,Guntur,Grocery,Rice 5kg,7,1960
2026-04,South,Guntur,Grocery,Tea 500g,17,3570
2026-04,South,Guntur,Personal,Shampoo 200ml,15,2100
2026-04,South,Guntur,Stationery,Notebook,6,240
2026-04,North,Hyderabad,Grocery,Rice 5kg,4,1120
2026-04,North,Hyderabad,Grocery,Tea 500g,7,1470
2026-04,North,Hyderabad,Personal,Shampoo 200ml,23,3220
2026-04,North,Hyderabad,Stationery,Notebook,8,320
2026-05,South,Vijayawada,Grocery,Rice 5kg,8,2240
2026-05,South,Vijayawada,Grocery,Tea 500g,24,5040
2026-05,South,Vijayawada,Personal,Shampoo 200ml,16,2240
2026-05,South,Vijayawada,Stationery,Notebook,11,440
2026-05,South,Guntur,Grocery,Rice 5kg,12,3360
2026-05,South,Guntur,Grocery,Tea 500g,22,4620
2026-05,South,Guntur,Personal,Shampoo 200ml,3,420
2026-05,South,Guntur,Stationery,Notebook,21,840
2026-05,North,Hyderabad,Grocery,Rice 5kg,7,1960
2026-05,North,Hyderabad,Grocery,Tea 500g,18,3780
2026-05,North,Hyderabad,Personal,Shampoo 200ml,14,1960
2026-05,North,Hyderabad,Stationery,Notebook,20,800
2026-06,South,Vijayawada,Grocery,Rice 5kg,10,2800
2026-06,South,Vijayawada,Grocery,Tea 500g,14,2940
2026-06,South,Vijayawada,Personal,Shampoo 200ml,10,1400
2026-06,South,Vijayawada,Stationery,Notebook,21,840
2026-06,South,Guntur,Grocery,Rice 5kg,13,3640
2026-06,South,Guntur,Grocery,Tea 500g,9,1890
2026-06,South,Guntur,Personal,Shampoo 200ml,13,1820
2026-06,South,Guntur,Stationery,Notebook,11,440
2026-06,North,Hyderabad,Grocery,Rice 5kg,2,560
2026-06,North,Hyderabad,Grocery,Tea 500g,7,1470
2026-06,North,Hyderabad,Personal,Shampoo 200ml,5,700
2026-06,North,Hyderabad,Stationery,Notebook,22,880
2026-07,South,Vijayawada,Grocery,Rice 5kg,11,3080
2026-07,South,Vijayawada,Grocery,Tea 500g,20,4200
2026-07,South,Vijayawada,Personal,Shampoo 200ml,12,1680
2026-07,South,Vijayawada,Stationery,Notebook,7,280
2026-07,South,Guntur,Grocery,Rice 5kg,21,5880
2026-07,South,Guntur,Grocery,Tea 500g,4,840
2026-07,South,Guntur,Personal,Shampoo 200ml,11,1540
2026-07,South,Guntur,Stationery,Notebook,16,640
2026-07,North,Hyderabad,Grocery,Rice 5kg,5,1400
2026-07,North,Hyderabad,Grocery,Tea 500g,15,3150
2026-07,North,Hyderabad,Personal,Shampoo 200ml,9,1260
2026-07,North,Hyderabad,Stationery,Notebook,14,560
2026-08,South,Vijayawada,Grocery,Rice 5kg,20,5600
2026-08,South,Vijayawada,Grocery,Tea 500g,15,3150
2026-08,South,Vijayawada,Personal,Shampoo 200ml,10,1400
2026-08,South,Vijayawada,Stationery,Notebook,16,640
2026-08,South,Guntur,Grocery,Rice 5kg,4,1120
2026-08,South,Guntur,Grocery,Tea 500g,22,4620
2026-08,South,Guntur,Personal,Shampoo 200ml,22,3080
2026-08,South,Guntur,Stationery,Notebook,18,720
2026-08,North,Hyderabad,Grocery,Rice 5kg,4,1120
2026-08,North,Hyderabad,Grocery,Tea 500g,23,4830
2026-08,North,Hyderabad,Personal,Shampoo 200ml,22,3080
2026-08,North,Hyderabad,Stationery,Notebook,17,680
2026-09,South,Vijayawada,Grocery,Rice 5kg,8,2240
2026-09,South,Vijayawada,Grocery,Tea 500g,19,3990
2026-09,South,Vijayawada,Personal,Shampoo 200ml,16,2240
2026-09,South,Vijayawada,Stationery,Notebook,9,360
2026-09,South,Guntur,Grocery,Rice 5kg,14,3920
2026-09,South,Guntur,Grocery,Tea 500g,2,420
2026-09,South,Guntur,Personal,Shampoo 200ml,20,2800
2026-09,South,Guntur,Stationery,Notebook,6,240
2026-09,North,Hyderabad,Grocery,Rice 5kg,14,3920
2026-09,North,Hyderabad,Grocery,Tea 500g,6,1260
2026-09,North,Hyderabad,Personal,Shampoo 200ml,16,2240
2026-09,North,Hyderabad,Stationery,Notebook,20,800
2026-10,South,Vijayawada,Grocery,Rice 5kg,20,5600
2026-10,South,Vijayawada,Grocery,Tea 500g,11,2310
2026-10,South,Vijayawada,Personal,Shampoo 200ml,3,420
2026-10,South,Vijayawada,Stationery,Notebook,9,360
2026-10,South,Guntur,Grocery,Rice 5kg,10,2800
2026-10,South,Guntur,Grocery,Tea 500g,24,5040
2026-10,South,Guntur,Personal,Shampoo 200ml,10,1400
2026-10,South,Guntur,Stationery,Notebook,16,640
2026-10,North,Hyderabad,Grocery,Rice 5kg,19,5320
2026-10,North,Hyderabad,Grocery,Tea 500g,18,3780
2026-10,North,Hyderabad,Personal,Shampoo 200ml,8,1120
2026-10,North,Hyderabad,Stationery,Notebook,5,200
2026-11,South,Vijayawada,Grocery,Rice 5kg,18,5040
2026-11,South,Vijayawada,Grocery,Tea 500g,12,2520
