month,region,revenue
2024-01,South,53973
2024-01,North,42492
2024-01,East,29257
2024-02,South,55924
2024-02,North,44773
2024-02,East,32246
2024-03,South,57485
2024-03,North,41559
2024-03,East,33474
2024-04,South,59680
2024-04,North,43283
2024-04,East,33687
2024-05,South,58112
2024-05,North,43195
2024-05,East,28944
2024-06,South,53158
2024-06,North,40250
2024-06,East,32025
2024-07,South,53358
2024-07,North,37060
2024-07,East,26663
2024-08,South,51070
2024-08,North,34075
2024-08,East,25393
2024-09,South,52359
2024-09,North,34610
2024-09,East,24056
2024-10,South,49565
2024-10,North,39532
2024-10,East,25167
2024-11,South,52830
2024-11,North,35026
2024-11,East,29246
2024-12,South,58411
2024-12,North,41644
2024-12,East,33597
2025-01,South,59874
2025-01,North,47475
2025-01,East,32038
2025-02,South,62957
2025-02,North,46819
2025-02,East,36954
2025-03,South,66370
2025-03,North,50159
2025-03,East,38079
2025-04,South,63475
2025-04,North,49169
2025-04,East,40150
2025-05,South,64166
2025-05,North,47092
2025-05,East,35575
2025-06,South,62020
2025-06,North,45722
2025-06,East,34558
2025-07,South,55459
2025-07,North,42104
2025-07,East,30628
2025-08,South,53801
2025-08,North,39123
2025-08,East,28718
2025-09,South,56424
2025-09,North,41322
2025-09,East,29001
2025-10,South,53601
2025-10,North,39588
2025-10,East,29692
2025-11,South,53886
2025-11,North,45495
2025-11,East,32427
2025-12,South,60188
2025-12,North,50094
2025-12,East,34588
