species,sepal_length,sepal_width,petal_length,petal_width
alba,5.03,2.95,1.68,0.1
carinata,6.3,3.2,5.11,2.23
carinata,6.62,3.56,4.82,2.1
carinata,6.97,2.96,5.63,1.86
alba,5.4,3.07,1.37,0.1
carinata,5.91,3.12,5.61,1.91
alba,4.98,3.65,1.36,0.17
borealis,6.35,2.8,4.81,1.13
alba,5.14,3.96,1.23,0.21
borealis,6.21,2.65,3.99,1.28
borealis,5.8,2.41,4.13,1.09
alba,5.55,3.75,1.62,0.12
borealis,5.39,3.08,3.57,0.97
carinata,6.01,2.91,5.17,1.92
carinata,7.06,3.23,5.81,2.11
carinata,6.59,2.9,6.02,1.88
carinata,6.87,2.5,5.83,1.92
alba,5.35,3.73,1.78,0.1
borealis,6.12,2.84,5.07,1.51
carinata,6.25,2.87,6.39,2.07
alba,5.12,3.03,1.94,0.1
carinata,6.83,2.52,5.88,1.8
alba,5.24,3.67,1.19,0.1
carinata,6.24,3.07,6.15,2.22
carinata,6.85,2.77,6.02,1.73
alba,4.77,3.28,1.51,0.47
borealis,6.0,3.02,4.43,1.18
borealis,5.56,2.78,4.12,1.09
borealis,5.64,2.4,4.6,1.49
alba,5.24,3.7,1.73,0.1
carinata,6.43,3.16,5.32,1.81
carinata,6.4,2.87,5.57,2.06
carinata,6.18,3.15,5.69,2.11
borealis,5.53,3.06,4.73,1.41
carinata,6.8,3.25,5.66,2.25
borealis,5.98,2.59,4.39,1.0
alba,5.0,3.53,0.86,0.28
alba,5.46,3.7,1.61,0.45
carinata,6.15,3.52,5.27,1.94
borealis,6.02,2.65,3.86,1.07
alba,4.75,3.63,0.95,0.1
alba,4.9,2.56,1.6,0.1
alba,4.75,3.24,1.12,0.28
borealis,6.03,2.75,4.8,1.41
carinata,6.64,3.07,5.69,2.09
alba,4.83,3.19,1.54,0.46
alba,5.56,2.95,1.62,0.18
borealis,5.64,2.93,4.16,1.6
alba,5.11,3.16,0.87,0.15
borealis,5.69,2.42,3.85,1.34
borealis,6.46,2.29,3.76,1.6
borealis,5.63,2.71,4.35,1.04
alba,5.22,3.66,1.06,0.18
borealis,5.86,2.98,5.26,1.38
alba,5.0,3.36,2.24,0.11
alba,5.14,3.54,2.11,0.1
borealis,5.96,2.92,4.7,1.14
alba,4.96,3.43,1.77,0.19
carinata,6.53,3.45,5.17,1.68
carinata,6.28,2.89,5.44,1.85
borealis,5.83,2.56,4.31,0.98
borealis,5.94,2.88,3.77,1.04
alba,5.22,3.89,2.11,0.1
borealis,5.77,2.91,3.89,1.29
borealis,5.42,3.03,3.97,1.53
alba,5.17,3.21,1.09,0.39
carinata,6.3,2.58,6.42,2.04
carinata,6.07,3.15,4.84,2.23
carinata,6.33,2.86,5.54,2.11
borealis,6.49,2.47,5.0,1.14
carinata,6.1,3.13,5.05,1.79
alba,5.02,3.37,1.16,0.1
borealis,6.07,2.54,4.53,1.52
alba,4.78,4.08,2.0,0.1
borealis,6.04,2.61,4.66,1.41
alba,5.15,3.57,1.09,0.31
carinata,7.03,3.23,5.51,1.97
borealis,5.99,2.89,4.31,1.76
borealis,6.11,3.07,4.06,1.23
borealis,6.14,2.97,4.09,1.03
borealis,6.2,2.44,4.49,1.28
carinata,7.48,2.94,4.84,1.95
alba,5.55,3.65,1.49,0.1
carinata,6.17,3.27,5.32,1.96
alba,5.41,3.4,1.78,0.1
borealis,5.6,3.09,4.51,1.45
carinata,6.44,3.38,6.53,1.97
alba,4.88,3.89,1.08,0.29
carinata,7.54,3.34,5.2,1.84
carinata,6.29,3.21,5.87,2.15
