annual_spend,visits_per_year,online_ratio,true_segment
8502,15,0.32,2
1995,4,0.176,1
2482,2,0.078,1
5827,11,0.234,2
1954,4,0.234,1
17690,21,0.553,3
13004,23,0.606,3
12170,27,0.488,3
2358,3,0.207,1
14863,28,0.562,3
9002,10,0.293,2
1731,5,0.185,1
19188,35,0.588,3
6196,12,0.366,2
7779,10,0.329,2
2014,4,0.061,1
2321,6,0.187,1
1735,3,0.095,1
2097,3,0.165,1
11132,19,0.69,3
8753,10,0.357,2
13619,26,0.636,3
12979,18,0.657,3
12950,29,0.58,3
6859,16,0.437,2
2487,3,0.159,1
14714,27,0.693,3
8984,7,0.368,2
12587,22,0.565,3
13591,24,0.6,3
9889,8,0.431,2
7057,9,0.408,2
7608,14,0.421,2
14315,33,0.612,3
13254,27,0.701,3
8983,9,0.398,2
15270,18,0.624,3
16251,28,0.594,3
7470,16,0.335,2
2185,3,0.216,1
7347,9,0.386,2
13823,35,0.646,3
8932,11,0.381,2
6869,15,0.259,2
8677,11,0.414,2
7666,10,0.405,2
8110,14,0.338,2
1947,3,0.099,1
1894,3,0.142,1
2595,2,0.085,1
6743,12,0.454,2
13994,30,0.492,3
7368,13,0.337,2
2021,3,0.105,1
16983,27,0.59,3
8567,11,0.35,2
2466,3,0.137,1
9470,9,0.354,2
5114,9,0.367,2
2542,3,0.169,1
2452,2,0.214,1
1819,3,0.064,1
8504,5,0.329,2
8312,14,0.33,2
7945,12,0.307,2
13235,29,0.8,3
2140,3,0.092,1
9161,12,0.357,2
15354,23,0.62,3
8554,14,0.381,2
2334,3,0.212,1
2013,2,0.173,1
12464,21,0.642,3
8153,12,0.408,2
6478,10,0.286,2
2167,2,0.097,1
9568,9,0.294,2
2218,3,0.091,1
8019,11,0.345,2
14026,33,0.708,3
17484,22,0.647,3
18020,24,0.516,3
14262,21,0.606,3
16846,24,0.588,3
2028,4,0.151,1
2047,5,0.11,1
2109,3,0.213,1
12899,20,0.605,3
8642,9,0.38,2
8307,14,0.258,2
2374,3,0.124,1
7851,9,0.238,2
13617,25,0.671,3
2439,5,0.106,1
8211,10,0.346,2
6576,10,0.405,2
2093,4,0.067,1
14577,34,0.594,3
15416,30,0.807,3
17327,30,0.609,3
7586,11,0.421,2
2570,3,0.12,1
8589,11,0.356,2
2178,5,0.106,1
2450,3,0.052,1
2412,4,0.172,1
16447,26,0.676,3
2114,3,0.13,1
14257,29,0.595,3
2020,3,0.103,1
16194,21,0.61,3
16300,28,0.499,3
2291,4,0.15,1
13646,31,0.591,3
2353,3,0.014,1
17228,33,0.701,3
2356,3,0.163,1
16367,32,0.66,3
13671,24,0.593,3
1705,2,0.186,1
