income,debt,credit_score,approved
19844,44785,709,0
51157,54826,705,1
21470,39294,516,0
37289,18972,798,0
106118,40112,377,0
50338,15420,502,1
20280,57361,637,0
42319,52701,355,0
109772,19277,369,1
101710,43526,435,0
26567,11001,634,0
28988,56116,366,0
48452,52287,330,0
44587,28735,814,1
21146,299,531,0
19092,23596,457,0
103156,39193,755,1
87699,23991,588,1
42458,4008,439,0
75852,57925,510,0
100928,20222,348,0
76230,58903,471,0
101770,17754,548,1
21602,38479,526,1
82451,38474,679,1
21105,25014,746,1
117890,57416,828,1
33881,19049,351,0
112285,34849,728,1
52503,58975,365,0
82963,12708,381,1
80309,46987,699,1
33102,26846,519,0
34447,47904,708,1
44405,19620,354,0
118300,45646,832,1
88428,54641,612,1
33592,6650,442,0
94264,35784,490,1
73001,40841,786,0
55243,52063,345,0
56585,6658,601,1
97397,26032,348,0
52086,58569,634,1
35460,9670,788,1
87130,15511,749,1
83248,17175,521,1
40166,21451,639,1
68620,773,591,0
64950,34864,583,0
17879,15480,404,0
53924,28751,806,1
60775,52155,554,0
92497,36482,342,0
55179,41544,533,0
86711,58876,774,1
75962,871,744,1
85144,53960,796,1
78628,12660,686,1
78974,39971,682,1
43556,43975,602,0
54499,54630,601,0
30008,54895,580,0
113426,59369,369,0
74289,50812,584,0
45362,42855,518,0
106426,56754,498,1
32909,38860,600,0
113113,35376,820,1
77313,13674,555,1
26510,29817,631,1
29536,35452,789,0
70881,45049,567,0
23979,46268,323,0
76412,46527,729,0
94394,44975,420,0
64920,20847,560,1
99399,17107,489,1
61811,17929,762,1
89724,51603,718,1
57712,26759,443,1
28883,9563,373,1
106308,43970,423,1
31519,55994,441,0
116941,14812,723,1
43871,38773,374,0
76809,9689,786,1
85595,14602,806,1
85183,48685,818,1
103455,17158,505,1
74914,10242,689,1
109585,27587,624,1
118251,27988,344,1
107672,55040,669,1
79430,53998,648,1
54020,32383,599,0
118838,46539,609,1
22736,39488,623,0
86831,16437,529,1
86369,17447,844,1
107396,12380,309,0
105652,51924,791,1
68538,18653,592,1
41385,14370,305,0
91115,1938,558,1
28757,785,724,1
34566,101,814,1
82940,6351,434,1
98166,36224,564,1
113458,32085,613,1
32394,51567,455,0
