t,value
1,-0.2423
2,0.24574
3,0.86741
4,0.7004
5,0.11461
6,-0.82478
7,-1.26881
8,-1.95276
9,-0.51272
10,0.56104
11,0.64544
12,1.42102
13,-0.84298
14,-0.87894
15,-1.78191
16,-1.671
17,-0.33246
18,-0.16958
19,2.06374
20,1.8009
21,1.17891
22,0.59355
23,-1.75614
24,-1.6251
25,-2.47227
26,-1.0941
27,0.43415
28,-1.50602
29,-1.04883
30,-0.99691
31,2.45503
32,2.28004
33,1.34464
34,-0.22224
35,-0.83456
36,0.39976
37,0.42155
38,-0.02974
39,0.37353
40,-0.58213
41,0.2005
42,0.50497
43,-0.12243
44,-0.89549
45,0.44262
46,0.20833
47,-1.29548
48,-1.24993
49,0.94583
50,1.12535
51,-1.07575
52,-0.69964
53,0.74407
54,0.36621
55,1.00725
56,0.27126
57,-1.03194
58,-0.42866
59,2.46673
60,2.27921
61,-0.65184
62,-0.95823
63,-0.25657
64,-0.99738
65,-1.15536
66,-0.36356
67,0.67589
68,0.45377
69,0.85686
70,-0.72511
71,-0.62868
72,-1.14857
73,-0.53116
74,-0.8762
75,-1.70025
76,0.63454
77,1.74855
78,-0.62908
79,-1.30946
80,0.76564
81,3.01803
82,3.46841
83,2.00385
84,0.45079
85,0.08564
86,1.79797
87,-0.37309
88,1.11336
89,-1.27572
90,-1.19028
91,-0.47357
92,-1.74861
93,-0.09925
94,-1.26748
95,0.62801
96,1.16622
97,0.91628
98,0.12162
99,0.02731
100,-0.75721
101,-0.79897
102,-0.25607
103,1.50126
104,-0.45332
105,-1.7475
106,-1.94065
107,-3.08572
108,0.09279
109,1.72562
110,1.97288
111,-1.90705
112,-0.42112
113,1.55215
114,0.20605
115,0.99306
116,-0.55573
117,-1.05226
118,1.82636
119,0.18057
120,1.64347
121,2.59732
122,2.15296
123,0.14308
124,-2.95122
125,-2.39848
126,0.27033
127,1.21347
128,-1.04451
129,-2.02698
130,-0.29077
131,1.52382
132,1.33878
133,1.53562
134,-0.85798
135,-0.98849
136,-0.57963
137,-0.36992
138,-1.25232
139,0.68007
140,1.14043
141,1.03532
142,0.54077
143,0.36003
144,-0.11845
145,0.95244
146,0.50641
147,0.66285
148,0.79488
149,-0.81009
150,-0.28909
151,-0.89501
152,0.17777
153,1.68849
154,0.58646
155,2.30092
156,1.82254
157,2.14111
158,0.13471
159,-1.87803
160,-1.69987
161,-1.50133
162,-1.85059
163,-1.82826
164,0.07912
165,1.76014
166,1.50204
167,0.83275
168,-0.20723
169,-0.46869
170,-0.21796
171,0.92609
172,-0.10028
173,-1.55131
174,-1.16419
175,-1.64331
176,-0.90882
177,-1.45476
178,-1.94222
179,-1.38435
180,-0.05268
181,-0.82486
182,-1.13011
183,-2.17803
184,-1.53904
185,0.51553
186,-0.42217
187,-1.15055
188,-1.4345
189,-0.68951
190,1.0676
191,0.72436
192,1.02621
193,-0.41524
194,-0.07238
195,-1.16892
196,0.36901
197,1.86929
198,2.29985
199,-0.25386
200,-0.34421
201,-0.89221
202,0.64693
203,0.12122
204,0.27156
205,-0.43546
206,-2.31897
207,0.35347
208,3.79226
209,4.65697
210,1.43582
211,-0.88051
212,-1.71289
213,-1.61084
214,-0.19679
215,1.46193
216,1.29713
217,2.29662
218,0.19559
219,-0.66666
220,-0.61865
221,-1.23947
222,-0.48914
223,0.30786
224,-0.27959
225,-0.8597
226,-1.6517
227,-0.9723
228,0.67086
229,1.05177
230,0.00875
231,-0.97137
232,0.37871
233,0.19035
234,-1.86589
235,-1.25245
236,-1.27516
237,0.63634
238,0.59385
239,1.99247
240,-0.58455
241,-0.41137
242,-0.50294
243,-0.16354
244,0.02057
245,0.2526
246,-1.36885
247,0.99818
248,1.95275
249,1.63982
250,3.09932
251,2.76466
252,3.54783
253,1.44632
254,0.05432
255,0.05273
256,0.13111
257,0.07881
258,-1.1668
259,-0.27931
260,0.35435
261,0.53157
262,1.09489
263,-0.99517
264,-1.68526
265,-1.05661
266,-0.18421
267,1.17761
268,1.78305
269,0.46236
270,-1.76071
271,-0.1372
272,2.11755
273,0.42221
274,-0.58096
275,0.04023
276,-0.62896
277,-1.78415
278,-0.62702
279,0.52772
280,2.83211
281,1.30326
282,-1.38438
283,-1.1047
284,-1.27166
285,-0.98442
286,0.31963
287,0.73523
288,0.69208
289,0.12632
290,0.25392
291,0.74794
292,0.95238
293,2.0137
294,2.2007
295,0.52111
296,-0.54654
297,1.36226
298,-0.00588
299,-0.92393
300,-0.18536
