t,rates,inflation,unrelated
1,0.71501,-1.32407,1.41129
2,-0.32431,0.47447,0.58779
3,-0.84633,-2.08699,0.19872
4,-1.44514,-0.54077,0.18935
5,0.20983,-0.27063,-0.89351
6,-2.05086,0.94458,-1.66268
7,-0.62083,-0.95882,-0.63332
8,-2.25341,-2.03775,-0.60881
9,-0.96494,-1.37665,-0.18108
10,-0.59059,-0.91518,-0.65029
11,-1.0821,0.4464,1.32567
12,0.12239,-1.18349,0.98308
13,1.06244,-0.57144,1.45271
14,0.30471,-0.22891,2.81874
15,-0.61501,1.82728,1.82937
16,-1.32221,-0.53999,-0.1067
17,-0.31612,0.27463,0.1004
18,-1.15876,0.07718,1.15746
19,-0.23077,-2.55879,0.16298
20,-1.18085,-0.26885,-0.33196
21,0.04021,-0.11462,-1.08449
22,-1.16161,-0.49891,-0.24698
23,0.26489,2.62655,0.40288
24,-0.61978,1.50996,0.32431
25,-0.07163,1.93265,1.22921
26,0.48671,-0.2782,0.80105
27,-0.73134,0.25723,-0.97433
28,1.93093,0.91636,0.37612
29,1.23466,2.17975,-0.28219
30,0.61723,1.3624,0.28186
31,-1.36244,0.75063,-0.4312
32,-0.19032,0.09783,0.7423
33,-1.74316,-1.27401,-0.08016
34,0.03095,-3.43692,0.22402
35,-0.18056,-1.61327,0.53646
36,1.90828,-0.72342,1.08354
37,0.86124,0.02814,0.70648
38,-0.46281,0.75419,0.05082
39,-0.41878,1.23006,0.77942
40,-0.7275,1.08053,2.21628
41,-0.41285,-1.78422,1.00543
42,-0.17662,-0.22264,-0.43292
43,-0.63253,0.16874,0.22051
44,-1.04373,1.06778,0.02573
45,-0.45576,0.25936,0.29417
46,0.88198,-0.03041,-0.17426
47,0.9732,0.82986,-0.61232
48,0.54775,1.63416,-0.78385
49,-0.6686,0.52011,1.03049
50,-0.46827,-0.97564,0.77831
51,-1.76795,0.12667,0.96218
52,-1.58018,-0.61029,0.44906
53,0.60393,0.24435,-2.2893
54,0.48555,1.36813,0.37197
55,-0.50351,0.00526,-0.8014
56,-0.16805,0.24409,0.10326
57,0.49119,1.60692,-0.79742
58,1.70247,0.31471,-0.07638
59,0.81929,2.01641,0.10066
60,1.75691,1.98974,-0.02731
61,0.99198,2.10646,1.28475
62,0.28999,1.03604,0.41744
63,1.15411,-1.74431,-0.31805
64,1.08198,-1.19613,0.05888
65,-0.18604,-0.19741,1.85458
66,0.67156,-0.84791,-1.4547
67,0.78972,-1.30968,-1.02004
68,1.37271,-0.1601,-0.71334
69,0.035,0.83404,0.14176
70,0.77694,0.92243,1.52973
71,1.51682,1.79842,0.97089
