student_id,height_cm
1,168.2
2,160.1
3,168.7
4,172.1
5,167.4
6,164.8
7,167.4
8,175.9
9,153.3
10,178.2
11,161.0
12,162.9
13,161.0
14,159.2
15,163.1
16,168.6
17,168.1
18,168.0
19,163.7
20,171.6
21,156.5
22,168.4
23,167.1
24,171.1
25,174.1
26,147.3
27,163.9
28,163.1
29,158.0
30,149.4
31,172.3
32,173.4
33,169.8
34,166.2
35,161.7
36,165.8
37,165.2
38,140.1
39,171.2
40,173.9
41,162.9
42,164.7
43,184.5
44,156.7
45,158.7
46,164.5
47,165.0
48,168.1
49,166.7
50,174.0
51,163.9
52,160.0
53,175.6
54,168.6
55,158.8
56,171.8
57,169.3
58,168.2
59,158.1
60,160.2
