group,score
control,72.69
control,69.57
control,75.74
control,64.44
control,74.97
control,69.14
control,72.18
control,73.44
control,67.77
control,71.57
control,61.73
control,75.24
control,74.28
control,62.14
control,79.71
control,72.3
control,66.96
control,69.57
control,68.21
control,73.01
control,69.57
control,72.14
control,58.25
control,65.83
control,73.18
treatment,57.2
treatment,71.53
treatment,78.0
treatment,83.82
treatment,77.45
treatment,78.04
treatment,77.16
treatment,74.39
treatment,77.09
treatment,69.47
treatment,70.71
treatment,76.85
treatment,74.79
treatment,91.79
treatment,70.91
treatment,84.79
treatment,80.61
treatment,75.89
treatment,79.32
treatment,86.64
treatment,77.72
treatment,74.33
treatment,77.07
treatment,72.2
treatment,72.64
