x,y,true_cluster
4.711,9.366,3
2.332,1.497,1
7.026,3.549,2
3.919,8.282,3
8.293,1.724,2
1.733,3.52,1
2.178,2.91,1
5.257,8.981,3
5.59,9.788,3
0.38,9.506,-1
7.962,3.092,2
5.766,9.687,3
0.561,7.793,-1
4.818,9.79,3
1.743,1.424,1
7.422,9.983,-1
1.7,2.012,1
9.061,2.222,-1
6.005,9.214,3
8.729,3.362,2
2.014,2.087,1
7.768,3.926,2
8.195,3.055,2
5.028,9.133,3
0.605,2.149,1
5.127,9.655,3
8.76,2.881,2
8.326,2.773,2
1.452,0.83,1
4.339,9.295,3
5.488,9.265,-1
2.736,1.53,1
8.649,1.929,2
8.506,2.839,2
5.139,9.286,3
4.116,8.712,3
2.52,2.359,-1
8.097,2.136,2
7.877,2.727,2
8.127,3.752,2
2.129,3.24,1
1.454,2.417,1
1.973,1.822,1
3.705,9.72,3
2.295,1.733,1
8.386,2.442,2
4.492,8.652,3
1.935,1.727,1
1.525,2.925,1
4.676,8.925,3
8.185,2.301,2
1.831,2.786,1
5.812,9.249,3
4.871,8.17,3
7.745,3.265,2
7.483,3.554,2
1.552,2.434,1
1.13,0.917,1
5.541,9.48,3
5.363,8.882,3
1.687,1.05,1
8.489,2.552,2
1.078,2.295,1
7.728,2.529,2
5.371,7.157,-1
8.655,3.489,2
2.015,2.455,1
8.506,3.549,2
2.402,2.719,1
8.647,3.53,2
7.466,2.887,2
5.777,8.802,3
4.696,9.721,3
2.168,2.06,1
5.337,9.623,3
3.974,0.513,-1
4.615,9.585,3
8.718,6.772,-1
2.268,2.211,1
7.78,3.0,2
2.271,1.734,1
7.491,2.78,2
6.544,5.747,-1
5.334,8.64,3
6.306,10.429,3
